,0,0,0
86,2018-05-11T13:01:24.42,Babyghostlier,POGGERS
87,2018-05-11T13:01:24.45,Dirtyharryce,HeyGuys
88,2018-05-11T13:01:27.28,legobimo,bonus game POGGERS
89,2018-05-11T13:01:27.91,MajkSwe,Hello Amaz
90,2018-05-11T13:01:27.94,dee2cee,Bonus POGGERS
91,2018-05-11T13:01:28.40,Camille021,Bonus =D
92,2018-05-11T13:01:29.25,Quindecile,SLAY THE SPIRE POGGERS
93,2018-05-11T13:01:30.31,Heimingheha_,@AmazHS Play Getting over it or Golfing over it? LUL
94,2018-05-11T13:01:32.90,berndma,FTL FeelsGoodMan Clap
95,2018-05-11T13:01:33.82,hexenring,POGGERS
96,2018-05-11T13:01:35.63,zjt2000,MORE GAME POGGERS
97,2018-05-11T13:01:35.96,APlayerWithAVeryLongName,@
98,2018-05-11T13:01:38.77,fox3360,BONER'S GAME Kreygasm
99,2018-05-11T13:01:39.06,jerrylamhl,POGGERS
100,2018-05-11T13:01:41.67,QuantumTruth,@AmazHS play Deadfire POGGERS
101,2018-05-11T13:01:45.45,PringlesPCant,@AmazHS The third hero for slay the spire is pretty cool
102,2018-05-11T13:01:46.26,Obfuscator7,play sporcle geography quizzes
103,2018-05-11T13:01:52.22,Kalitaris,Hello @AmazHS FeelsGoodMan <3
104,2018-05-11T13:01:52.48,Christian_HS,FeelsGoodMan @AmazHS
105,2018-05-11T13:01:52.75,iZoly_,Hey deccHiYo
106,2018-05-11T13:01:53.98,チョマ,VoHiYo
107,2018-05-11T13:01:54.16,PringlesPCant,way better than the second hero
108,2018-05-11T13:01:54.46,jerrylamhl,Pillars of eternity 2 @amazhs
109,2018-05-11T13:01:55.03,Talynpl,"@AmazHS New expansion of Darkest Dungeon coming soon, keep that in mind"
110,2018-05-11T13:01:57.06,チョマ,@iZoly_ amaz3
111,2018-05-11T13:01:58.78,epicdudeguyman,OMEGALUL
112,2018-05-11T13:01:58.86,18hours,@amazhs i have been here waiting so long for you
113,2018-05-11T13:02:02.95,Christian_HS,@iZoly_ PogChamp /
114,2018-05-11T13:02:05.46,lightshad3z,KonCha
115,2018-05-11T13:02:07.06,MasterPhoenix69,Hello There General @AmazHS
116,2018-05-11T13:02:07.48,哈哈許,amazRee amazRee amazRee amazRee
117,2018-05-11T13:02:12.7,kevandaweeb,@AmazHS play League LUL
118,2018-05-11T13:02:13.47,tamir1029,@AmazHS play stardew valley ?
